Current_name;Former_name;Date_of_old_name_change;Nation_during_first_name_change;Date_of_current_name_change;Reason_for_Name_change;Location ;Coordinates_LAT_LONG;Notes;Latitude;Longitude;Flag_ID;Filter
Drvar;Titov Drava;1981;Yugoslavia;1991;Had the name Tito added to it in honor of the Partisan leader Josef Tito of Yugoslavia. Had Tito removed from the name after the fall of Yugoslavia;Bosnia and Herzegovina;44.374769,16.3827291;;44.374769;16.3827291;YUGO;Name Change: Post Communist
Dobrich;Tobulkhin;1949;Peoples Republic of Bulgaria;1990;Renamed to Tobulkhin in 1949 to honor the Russian Field Marshal Fyodor Ivanovich Tolbukhin. In 1990 after the Communist overthrow did the name change back to its precommunist name.;Bulgaria;43.6637774,27.9002123;;43.6637774;27.9002123;BUL;Name Change: Post Communist
Shumen;Kolarovgrad;1950;Peoples Republic of Bulgaria;1965;NA;Bulgaria;43.2703797,26.9247362;;43.2703797;26.9247362;BUL;Name Change: Communism
Montana;Mikhailovgrad;1945;Peoples Republic of Bulgaria;1993;"Was renamed after the Bulgarian Communist Hristo Mikhayov, but was renamed to Montana by a presidential Decree. The new name was inspired by the ancient name for a Thracian city called ""Castra ad Montanesium""";Bulgaria;43.479324,23.1162357;;43.479324;23.1162357;BUL;Name Change: Post Communist
Tsarevo;Michurin;1950;Peoples Republic of Bulgaria;1991;The original pre-1950ties name of Tsarevo had royal connotations with its name and was therefor renamed to Michurin by the communist regime in honor of the Russian and Communist botanist Ivan Vladimirovich Michurin. The original name was restored after the overthrow of the communist goverment.;Bulgaria;42.1702827,27.8482856;;42.1702827;27.8482856;BUL;Name Change: Post Communist
Chrozów;Königshütte;1797;Republic of Poland;1918;Poland had gained its independence after world war 1 and had gained som of the old German lands that had a majority poles. The orignaly polish named was therefor restored to create a new polish identity.;Poland;50.2885563,18.9704425;;50.2885563;18.9704425;POLAND;Name Change: Post World War 1
Bogatynia;Reichenau;1815;Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;50.9077147,14.9539185;;50.9077147;14.9539185;POLAND;Name Change: Post World War 2
Barczewo ;Wartembork;NA;Republic of Poland / Kingdom of Prussia;1949;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;53.8297112,20.6911497;;53.8297112;20.6911497;POLAND;Name Change: Post World War 2
Samara;Kuybyshev;1935;Soviet Union;1991;Was renamed to Kuybyshev in honor of the Bolshevik Valerian Kuybyshev who had died in 1935. The original name Samara was restored after the fall of the soviet union;Russia;53.198627,50.113987;;53.198627;50.113987;SOVIET;Name Change: Post Communist
Chornomorsk;Illichivskyi Khutir;1927;Soviet Union;2015;Had its name changed because of the Ukranian decree that needed former Soviet names to be removed and old names restored. ;Ukraine;;;46.3020943;30.653466;SOIVET;Name Change: Post Communist
Oleshky;Tsiurupynsk;1928;Soviet Union;2007;Originally was renamed after the Ukranian communist Alexander Tsiurupa, but had its original name restored in 2007 by the Ukranian government.;Ukraine;;;46.6249473;32.7251086;SOVIET;Name Change: Post Communist
Ivano Frankivsk;Stanislow;1944;Soviet Union;1962;Originally the city of Stanislow had a large Polish population, and the name refered to a polish nobleman who had help found a fortress near the city. However during the Second world war , a large amount of poles were expelled from the city. It was later renamed to Ivano Franko to honor the Ukranian writer of the same name.;Ukraine;;;48.9225224;24.7103188;SOVIET;Name Change: Post World War 2
Verkhnyadzvinsk;Drysa;1961;Soviet Union;1991;NA;Belarus;;;55.771;27.934834;SOVIET;Name Change: Post Communist
Kropynytskyie;Kirovo;1934;Soviet Union;1991;Originally named Yelisavetgrad, but was renamed to Kirovo since the original name had royal connotations. Was renamed Kropyntskyi instead since the old name had Russian connotations and was not allowed to be kept.;Ukraine;;;48.5105805;32.2656283;SOVIET;Name Change: Post Communist
Barsov;Orasul Stalin;1950;Peoples Republic of Romania;1961;Had its original name restored during the De-Stalinization ;Romania;;;45.6523093;25.6102746;ROMANIA;Name Change: De-Stalinization
Brest;Brest-Litovsk;NA;Soviet Union;1939;"The area around Brest-litovsk had once been part of the old Kingdom of Lithuania and Litovske was polish and ment ""Lithuania"". After the partition of Poland during 1939 did the Soviet Government attempt to remove references to the regional historical ties to Lithuania, so Litovske was dropped from the name.";Belarus ;;;52.093751;23.6851851;BEL;Name Change: Post World War 2
Olsztyn;Allenstein;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;53.7767239;20.4777813;POLAND;Name Change: Post World War 2
Barczewo;Wartenburg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;53.8297112;20.6911497;POLAND;Name Change: Post World War 2
Gizycko;Lötzen;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;54.0361354;21.7661326;POLAND;Name Change: Post World War 2
Baila Piska;Gehlenburg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland ;;;53.6113625;22.0581433;POLAND;Name Change: Post World War 2
Zheleznodorozhny;Gerdauen;;Soviet Union;1945;NA;Russia;;;54.360799;21.3054607;POLAND;Name Change: Post World War 2
Dabrowno;Gilgenburg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;53.4330094;20.0360833;POLAND;Name Change: Post World War 2
Wegorzewo;Angerburg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;54.2138162;21.7416569;POLAND;Name Change: Post World War 2
Dobre Miasto;Guttstadt;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland ;;;53.9868899;20.3973402;POLAND;Name Change: Post World War 2
Lidzbark Warminski;Heilberg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;54.1305863;20.564917;POLAND;Name Change: Post World War 2
Engels;Pokrovsk;;Soviet Union;1931;The City of Pokrovsk was a major city for the Volga Germans and so the city was renamed in honor not of a prominit Russian Communist but after Frederich Engels who had been Karl Marx's Partner;Russia;;;51.5013775;46.1233093;;Name Change: Communism
Veles;Titov Veles;1945;Yugoslavia;1996;Had the name Tito added to it in honor of the Partisan leader Josef Tito of Yugoslavia. Had Tito removed from the name after the fall of Yugoslavia;North Macedonia;;;41.718869;21.7705695;;Name Change: Post Communist
Uzice;Titov Uzice;1945;Yugoslavia;1992;Had the name Tito added to it in honor of the Partisan leader Josef Tito of Yugoslavia. Had Tito removed from the name after the fall of Yugoslavia;Serbia;;;43.851709;19.8425328;;Name Change: Post Communist
Gandja;Kirovabad;1930;Soviet Union;1989;Renamed to its original Azerbaijani name during the Glastnost period.;Azerbaijajan;;;40.6782547;46.357323;;Name Change: Post Communist
Zielona Góra;Grunberg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;51.9383777;15.5050408;;Name Change: Post World War 2
Gorzów Wlkp;Landsberg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;52.7309926;15.2400451;;Name Change: Post World War 2
Choszczno;Arnswalde;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;53.1704801;15.4167349;;Name Change: Post World War 2
Miastko;Rummelsburg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;54.0001478;16.9774717;;Name Change: Post World War 2
Jelenia Gora;Hirschberg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;50.9031028;15.7344306;;Name Change: Post World War 2
Kwidzyn;Marienwerder;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;53.7204653;18.9374641;;Name Change: Post World War 2
Stebark;Tannenberg;;Peoples Republic of Poland;1945;Poland gained most of the land that once comprised the  German Region of Prussia. Many of the germans that had once lived there were also expelled and replaced with polish families. The names changed to reflect the new polish identity;Poland;;;53.4953662;20.1335477;;Name Change: Post World War 2
Stepanakert;Vararakn;;Soviet Union;1990;NA;Azerbaijajan;;;39.8182044;46.7517171;;Name Change: Communism
Havzova;Kirovsk;;Soviet Union;1923;The old Soviet name was an exsample of another city, named after the Soviet leader Kirov. Perhaps the name of Havzova was the original name of the town, but there are not enough sources to give an accurate answer;Azerbaijajan;;;38.789111;48.7224279;;Name Change: Post Communist
Vanadzor;Kirovakan;1935;Soviet Union;1992;Renamed to its original name after the fall of the soviet union;Armenia;;;40.8111917;44.4851995;;Name Change: Post Communist
Gyumri;Leninkan;1924;Soviet Union;1993;Renamed to its original name after the fall of the soviet union;Armenia;;;40.7810335;43.8506502;;Name Change: Post Communist
Svetlograd;Petrovskoye;;Soviet Union;1965;Changed its name potentially because the original name refered to Peter the Great. But I can find no sources for this.;Russia;;;45.3406133;42.8459286;;Name Change: Communism
